"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2018 LE1)","2102-2102","1","3.8e-7","5.90","27.7","0.010","-8.10","-8.10","0","bK18L01E"
"(2006 BO7)","2060-2115","4","9.4e-7","9.83","29.3","0.005","-8.11","-8.30","0","bK06B07O"
"(2014 HE197)","2028-2098","22","6.1e-9","16.73","25.5","0.027","-8.11","-9.08","0","bK14HJ7E"
"(2018 VP1)","2025-2025","2","5.9e-7","9.53","30.9","0.002","-8.11","-8.40","0","bK18V01P"
"(2010 YD)","2091-2091","1","7.9e-8","8.99","26.6","0.016","-8.11","-8.11","0","bK10Y00D"
"(2009 WQ52)","2037-2037","1","7.1e-8","14.76","28.2","0.008","-8.12","-8.12","0","bK09W52Q"
"(2019 TN5)","2041-2041","1","1.4e-7","11.59","28.4","0.007","-8.12","-8.12","0","bK19T05N"
"(2015 FN36)","2117-2117","1","2.3e-9","21.85","23.9","0.056","-8.12","-8.12","0","bK15F36N"
"(2016 NJ56)","2036-2036","1","4.0e-9","4.95","25.1","0.033","-8.14","-8.14","0","bK16N56J"
"(2016 AF2)","2072-2093","6","2.6e-7","5.87","27.8","0.009","-8.14","-8.19","0","bK16A02F"
"(2017 UQ6)","2090-2090","1","1.8e-7","3.04","27.1","0.013","-8.14","-8.14","0","bK17U06Q"
"(2015 HD1)","2047-2060","2","4.9e-8","15.69","27.4","0.011","-8.15","-8.42","0","bK15H01D"
"(2020 TE6)","2066-2072","2","1.1e-7","10.98","27.5","0.011","-8.16","-8.28","0","bK20T06E"
"(2010 UE)","2032-2044","2","2.4e-7","16.11","29.6","0.004","-8.17","-8.30","0","bK10U00E"
"(2004 BK86)","2078-2078","1","9.4e-9","15.77","25.4","0.028","-8.17","-8.17","0","bK04B86K"
"(2020 HN3)","2088-2118","11","3.2e-6","4.18","29.6","0.004","-8.18","-8.44","0","bK20H03N"
"(2012 WR10)","2087-2096","2","7.7e-7","2.73","28.5","0.007","-8.19","-8.40","0","bK12W10R"
"(2014 WU200)","2104-2111","2","1.5e-6","1.69","28.8","0.006","-8.19","-8.19","0","bK14WK0U"
"(2021 BO2)","2050-2050","1","1.8e-7","10.29","28.4","0.007","-8.19","-8.19","0","bK21B02O"
"(2010 RK53)","2029-2029","1","3.4e-8","8.23","27.8","0.009","-8.20","-8.20","0","bK10R53K"
"(2014 KW76)","2115-2115","1","2.7e-7","15.00","28.0","0.008","-8.20","-8.20","0","bK14K76W"
"(2020 TT1)","2117-2117","1","1.0e-7","14.18","27.1","0.013","-8.20","-8.20","0","bK20T01T"
"(2016 DY30)","2036-2115","9","7.7e-7","15.60","30.5","0.003","-8.21","-8.25","0","bK16D30Y"
"(2011 UA64)","2113-2113","1","8.7e-8","14.41","27.0","0.013","-8.22","-8.22","0","bK11U64A"
"(2018 DU1)","2078-2095","2","2.1e-7","6.69","27.7","0.010","-8.22","-8.30","0","bK18D01U"
"(2018 QS)","2084-2084","1","3.3e-8","9.48","26.3","0.019","-8.25","-8.25","0","bK18Q00S"
"(2021 BN)","2108-2117","4","5.2e-7","7.65","28.3","0.007","-8.25","-8.59","0","bK21B00N"
"(2016 TM)","2089-2093","2","2.1e-7","4.29","27.5","0.011","-8.26","-8.26","0","bK16T00M"
"(2020 KS)","2055-2072","3","1.6e-8","7.10","25.8","0.024","-8.26","-8.65","0","bK20K00S"
"(2007 WT3)","2101-2101","1","1.9e-9","19.92","24.1","0.051","-8.28","-8.28","0","bK07W03T"
"(2017 SA21)","2056-2056","1","1.7e-7","10.07","28.3","0.007","-8.28","-8.28","0","bK17S21A"
"(2017 UK1)","2081-2112","3","9.4e-8","7.56","27.1","0.013","-8.29","-8.43","0","bK17U01K"
"(2020 FM1)","2071-2109","4","1.4e-6","7.09","29.3","0.005","-8.29","-8.52","0","bK20F01M"
"(2020 XK1)","2070-2102","6","4.2e-6","5.85","30.6","0.003","-8.30","-8.53","0","bK20X01K"
"(2019 SM8)","2061-2061","1","3.5e-7","14.05","29.2","0.005","-8.31","-8.31","0","bK19S08M"
"(2008 XC1)","2085-2085","1","1.4e-9","11.66","23.7","0.063","-8.32","-8.32","0","bK08X01C"
"(2014 DK10)","2060-2100","3","1.2e-7","11.81","27.8","0.010","-8.32","-8.69","0","bK14D10K"
"(2014 OQ392)","2092-2115","4","7.2e-10","11.64","22.8","0.093","-8.32","-8.77","0","bK14Od2Q"
"(2017 YD1)","2102-2117","3","3.6e-6","2.67","30.0","0.003","-8.32","-8.42","0","bK17Y01D"
"(2020 UB)","2080-2080","1","1.4e-7","11.21","27.9","0.009","-8.33","-8.33","0","bK20U00B"
"(2008 YC29)","2034-2116","15","1.1e-8","11.02","25.4","0.028","-8.35","-8.75","0","bK08Y29C"
"(2019 SE11)","2042-2064","4","4.1e-9","11.99","25.4","0.028","-8.35","-8.71","0","bK19S11E"
"(2010 VR139)","2024-2076","13","2.1e-8","5.20","26.7","0.015","-8.36","-8.99","0","bK10VD9R"
"(2012 XL55)","2066-2066","1","2.3e-8","19.09","27.1","0.013","-8.36","-8.36","0","bK12X55L"
"(2020 DW)","2108-2108","1","4.7e-6","3.79","30.3","0.003","-8.36","-8.36","0","bK20D00W"
"(2013 UJ5)","2061-2061","1","1.0e-7","10.81","28.0","0.009","-8.37","-8.37","0","bK13U05J"
"(2009 FQ32)","2070-2104","7","6.4e-8","4.75","26.8","0.015","-8.38","-8.87","0","bK09F32Q"
"(2014 UY57)","2071-2076","2","6.0e-8","9.10","27.2","0.012","-8.38","-8.60","0","bK14U57Y"
"(2014 BZ2)","2106-2106","1","7.2e-9","17.72","25.5","0.027","-8.43","-8.43","0","bK14B02Z"
"(2017 SG33)","2051-2109","4","8.2e-10","17.40","23.9","0.055","-8.43","-8.82","0","bK17S33G"
"(2020 XC)","2085-2085","1","6.9e-7","3.52","29.0","0.005","-8.43","-8.43","0","bK20X00C"
"(2020 FP5)","2115-2117","7","1.7e-6","7.15","29.7","0.004","-8.45","-8.71","0","bK20F05P"
"(2020 KJ4)","2096-2106","2","2.3e-6","4.22","29.9","0.004","-8.45","-8.45","0","bK20K04J"
"(2004 OD4)","2100-2100","1","5.8e-8","8.45","26.9","0.014","-8.47","-8.47","0","bK04O04D"
"(2007 WW3)","2031-2106","5","1.1e-9","10.27","23.9","0.056","-8.47","-8.84","0","bK07W03W"
"(2019 EF)","2117-2117","1","2.6e-8","17.67","26.6","0.016","-8.47","-8.47","0","bK19E00F"
"(2009 XR1)","2026-2109","13","2.0e-7","6.00","29.3","0.005","-8.48","-8.84","0","bK09X01R"
"(2013 VJ13)","2099-2099","1","9.8e-10","16.09","23.8","0.060","-8.48","-8.48","0","bK13V13J"
"(2020 BY11)","2114-2120","3","1.6e-7","12.48","27.9","0.009","-8.48","-8.91","0","bK20B11Y"
"(2020 RE4)","2115-2120","6","1.1e-7","17.78","27.9","0.009","-8.48","-8.91","0","bK20R04E"
"(2020 YE5)","2101-2120","2","1.3e-8","10.32","25.7","0.024","-8.50","-8.69","0","bK20Y05E"
"(2018 BP3)","2115-2115","1","4.8e-7","6.92","28.7","0.006","-8.52","-8.52","0","bK18B03P"
"(2020 PW2)","2073-2100","7","2.7e-7","10.61","28.7","0.006","-8.52","-9.10","0","bK20P02W"
"(2020 KD1)","2042-2042","1","4.1e-8","8.72","27.9","0.009","-8.53","-8.53","0","bK20K01D"
"(2015 KW157)","2042-2115","7","9.8e-9","9.32","25.9","0.022","-8.54","-8.85","0","bK15KF7W"
"(2020 VB3)","2082-2115","8","1.2e-6","5.37","29.6","0.004","-8.55","-8.91","0","bK20V03B"
"(2018 XX3)","2088-2112","4","1.2e-6","4.41","29.7","0.004","-8.55","-8.65","0","bK18X03X"
"(2019 UN8)","2101-2105","3","4.8e-7","19.30","29.7","0.004","-8.57","-8.94","0","bK19U08N"
"(2021 AC2)","2079-2079","1","1.1e-7","6.54","27.9","0.009","-8.57","-8.57","0","bK21A02C"
"(2019 YA3)","2095-2116","2","2.4e-8","8.35","26.4","0.018","-8.59","-8.60","0","bK19Y03A"
"(2017 JB2)","2110-2111","2","7.5e-7","2.93","29.1","0.005","-8.59","-8.88","0","bK17J02B"
"(2019 JX1)","2100-2104","3","3.3e-7","14.36","29.1","0.005","-8.60","-8.76","0","bK19J01X"
"(2019 JH7)","2114-2118","2","1.0e-6","9.05","29.6","0.004","-8.60","-8.89","0","bK19J07H"
"(2019 BV2)","2116-2116","1","6.2e-9","15.21","25.5","0.027","-8.61","-8.61","0","bK19B02V"
"(2005 TK50)","2054-2106","2","1.5e-7","20.62","28.9","0.006","-8.63","-8.65","0","bK05T50K"
"(2016 YC13)","2087-2116","7","2.1e-8","11.76","26.7","0.016","-8.63","-8.73","0","bK16Y13C"
"(2016 FA14)","2072-2072","1","2.3e-8","15.24","27.3","0.012","-8.65","-8.65","0","bK16F14A"
"(2020 XX3)","2094-2094","1","2.5e-7","4.60","28.5","0.007","-8.65","-8.65","0","bK20X03X"
"(2012 CS46)","2096-2106","3","1.0e-7","6.72","27.7","0.010","-8.66","-8.91","0","bK12C46S"
"(2018 XW3)","2044-2044","1","4.5e-9","12.28","26.3","0.018","-8.66","-8.66","0","bK18X03W"
"(2019 DF)","2059-2110","9","4.2e-7","14.11","30.0","0.003","-8.66","-8.94","0","bK19D00F"
"(2017 TD6)","2081-2081","1","3.5e-8","9.00","27.2","0.012","-8.67","-8.67","0","bK17T06D"
"(2015 HM182)","2021-2116","96","1.6e-7","6.93","29.0","0.005","-8.68","-9.41","0","bK15HI2M"
"(2006 WV)","2103-2103","1","2.9e-8","14.69","27.1","0.013","-8.68","-8.68","0","bK06W00V"
"(2019 FT1)","2104-2113","2","3.7e-8","10.86","27.0","0.014","-8.68","-8.76","0","bK19F01T"
"(2018 WG2)","2078-2103","2","1.2e-6","6.47","30.1","0.003","-8.73","-8.81","0","bK18W02G"
"(2012 WQ3)","2040-2040","1","5.5e-10","23.77","25.4","0.028","-8.74","-8.74","0","bK12W03Q"
"(2012 YR1)","2077-2077","1","1.5e-8","7.84","26.5","0.017","-8.74","-8.74","0","bK12Y01R"
"(2016 JY5)","2093-2107","3","4.7e-8","6.17","27.1","0.013","-8.74","-9.09","0","bK16J05Y"
"(2008 EF32)","2083-2083","3","2.6e-7","13.11","29.4","0.004","-8.75","-8.78","0","bK08E32F"
"(2018 AT2)","2115-2115","1","9.5e-8","7.11","27.7","0.010","-8.75","-8.75","0","bK18A02T"
"(2017 VC14)","2111-2111","2","1.3e-7","11.50","28.3","0.007","-8.76","-8.85","0","bK17V14C"
"(2011 SL189)","2043-2100","5","8.6e-10","9.74","24.6","0.040","-8.79","-9.32","0","bK11SI9L"
"(2009 JE1)","2044-2093","8","2.0e-8","5.64","27.3","0.012","-8.80","-9.10","0","bK09J01E"
"(2008 WJ14)","2031-2089","8","4.4e-9","10.65","26.5","0.017","-8.82","-9.29","0","bK08W14J"
"(2011 CA7)","2062-2064","3","5.4e-7","8.91","30.3","0.003","-8.83","-9.06","0","bK11C07A"
"(2021 AZ5)","2110-2110","1","1.0e-7","8.06","28.1","0.008","-8.83","-8.83","0","bK21A05Z"
"(2016 JA)","2064-2089","3","4.1e-8","7.59","27.5","0.011","-8.84","-9.10","0","bK16J00A"
"(2002 CA26)","2115-2115","1","7.6e-9","11.06","25.9","0.022","-8.85","-8.85","0","bK02C26A"
"(2019 SX8)","2110-2116","4","2.6e-7","8.33","28.9","0.005","-8.85","-9.10","0","bK19S08X"
"(2015 HE183)","2090-2090","1","5.9e-8","13.58","28.2","0.008","-8.86","-8.86","0","bK15HI3E"
"(2014 QJ365)","2116-2118","3","4.3e-8","12.01","27.5","0.011","-8.86","-9.17","0","bK14Qa5J"
"(2016 UR36)","2107-2107","2","2.6e-8","17.96","27.5","0.011","-8.87","-8.98","0","bK16U36R"
"(2009 EJ1)","2041-2086","4","4.0e-8","10.47","28.3","0.008","-8.88","-9.09","0","bK09E01J"
"(2013 RZ53)","2104-2107","2","3.7e-6","1.28","31.1","0.002","-8.88","-8.99","0","bK13R53Z"
"(2019 QD)","2112-2112","1","1.2e-7","15.33","28.8","0.006","-8.88","-8.88","0","bK19Q00D"
"(2016 AQ164)","2035-2035","1","6.9e-8","13.90","29.9","0.004","-8.89","-8.89","0","bK16AG4Q"
"(2019 UW7)","2081-2081","1","2.2e-8","10.01","27.3","0.012","-8.89","-8.89","0","bK19U07W"
"(2013 EC20)","2112-2112","3","3.2e-7","2.67","29.0","0.005","-8.92","-9.22","0","bK13E20C"
"(2009 XQ2)","2084-2114","2","2.6e-10","26.17","24.1","0.051","-8.95","-9.18","0","bK09X02Q"
"(2017 BF136)","2069-2105","3","2.5e-9","20.90","26.1","0.020","-8.95","-9.10","0","bK17BD6F"
"(2019 JZ2)","2041-2041","1","1.7e-9","20.15","26.7","0.015","-8.96","-8.96","0","bK19J02Z"
"(2010 XU)","2081-2088","2","3.0e-9","6.25","25.4","0.029","-8.97","-9.14","0","bK10X00U"
"(2009 MG1)","2079-2079","1","3.1e-10","17.47","24.1","0.052","-8.97","-8.97","0","bK09M01G"
"(2021 BP1)","2110-2118","5","4.5e-7","5.95","29.6","0.004","-9.00","-9.43","0","bK21B01P"
"(2021 AP6)","2121-2121","1","2.0e-8","4.32","26.8","0.015","-9.07","-9.07","0","bK21A06P"
"(2020 DR4)","2039-2064","4","1.2e-7","6.83","29.7","0.004","-9.07","-9.38","0","bK20D04R"
"(2014 HM198)","2075-2104","2","1.3e-8","10.52","27.3","0.012","-9.08","-9.09","0","bK14HJ8M"
"(2007 VF189)","2072-2077","2","3.6e-8","11.47","28.4","0.007","-9.11","-9.18","0","bK07VI9F"
"(2015 HZ182)","2035-2101","10","3.9e-9","14.85","27.0","0.013","-9.12","-9.37","0","bK15HI2Z"
"(2017 YE7)","2022-2022","1","8.0e-10","20.33","28.5","0.007","-9.14","-9.14","0","bK17Y07E"
"(2014 HN2)","2112-2112","1","9.8e-9","2.59","26.3","0.018","-9.16","-9.16","0","bK14H02N"
"(2016 WF7)","2102-2115","4","1.0e-7","6.54","28.7","0.006","-9.17","-9.27","0","bK16W07F"
"(2019 SU1)","2116-2119","2","8.5e-8","5.09","28.4","0.007","-9.18","-9.23","0","bK19S01U"
"(2008 JL24)","2091-2091","1","2.3e-7","2.70","29.6","0.004","-9.21","-9.21","0","bK08J24L"
"(2018 EZ2)","2118-2118","1","7.6e-9","9.38","26.6","0.017","-9.23","-9.23","0","bK18E02Z"
"(2019 SU2)","2095-2096","2","2.5e-7","11.10","30.1","0.003","-9.23","-9.36","0","bK19S02U"
"(2021 AZ6)","2112-2120","3","4.1e-9","12.30","26.3","0.019","-9.25","-9.43","0","bK21A06Z"
"(2013 VD17)","2075-2075","1","6.1e-9","11.99","27.1","0.013","-9.26","-9.26","0","bK13V17D"
"(2020 WA1)","2067-2071","3","1.8e-8","19.93","28.6","0.006","-9.27","-9.31","0","bK20W01A"
"(2020 RO2)","2040-2040","1","2.8e-9","15.62","27.6","0.010","-9.27","-9.27","0","bK20R02O"
"(2016 NC56)","2114-2114","1","8.4e-9","14.50","27.1","0.013","-9.28","-9.28","0","bK16N56C"
"(2018 DO3)","2046-2115","18","3.4e-8","17.84","29.1","0.005","-9.29","-10.08","0","bK18D03O"
"(2012 XB112)","2118-2118","1","3.4e-7","4.12","29.8","0.004","-9.29","-9.29","0","bK12XB2B"
"(2020 YS2)","2093-2093","1","1.0e-6","2.64","31.0","0.002","-9.29","-9.29","0","bK20Y02S"
"(2020 OX4)","2088-2088","1","2.5e-10","17.11","24.6","0.042","-9.36","-9.36","0","bK20O04X"
"(2020 VT3)","2100-2100","1","5.8e-8","8.96","28.9","0.006","-9.39","-9.39","0","bK20V03T"
"(2014 AG51)","2067-2105","4","7.6e-8","14.81","30.0","0.003","-9.40","-9.43","0","bK14A51G"
"(2020 SM2)","2111-2111","1","6.9e-8","4.17","28.7","0.006","-9.40","-9.40","0","bK20S02M"
"(2005 WN3)","2024-2024","1","4.0e-9","18.17","29.9","0.004","-9.45","-9.45","0","bK05W03N"
"(2017 UJ2)","2074-2097","5","5.1e-7","5.23","30.9","0.002","-9.45","-9.81","0","bK17U02J"
"(2017 WW1)","2055-2055","1","4.0e-8","12.44","29.7","0.004","-9.48","-9.48","0","bK17W01W"
"(2009 SD15)","2081-2105","2","2.7e-9","14.07","26.9","0.014","-9.49","-9.52","0","bK09S15D"
"(2019 GC6)","2113-2113","1","5.0e-9","5.28","26.5","0.017","-9.49","-9.49","0","bK19G06C"
"(2016 FF14)","2117-2117","1","7.3e-9","9.83","27.1","0.013","-9.49","-9.49","0","bK16F14F"
"(2019 VC)","2117-2117","1","6.7e-8","3.81","28.8","0.006","-9.52","-9.52","0","bK19V00C"
"(2009 DM40)","2091-2091","1","2.9e-9","8.96","26.6","0.016","-9.55","-9.55","0","bK09D40M"
"(2010 SK13)","2084-2084","1","2.5e-9","18.03","27.3","0.012","-9.61","-9.61","0","bK10S13K"
"(2011 SC108)","2111-2111","1","4.9e-9","22.30","27.9","0.009","-9.64","-9.64","0","bK11SA8C"
"(2014 WZ365)","2047-2047","1","2.8e-10","10.86","25.7","0.025","-9.65","-9.65","0","bK14Wa5Z"
"(2019 YS)","2089-2116","12","7.2e-7","6.25","31.5","0.002","-9.66","-10.33","0","bK19Y00S"
"(2021 AY2)","2054-2054","1","1.6e-9","11.07","27.2","0.012","-9.69","-9.69","0","bK21A02Y"
"(2021 AS3)","2117-2117","1","3.8e-10","17.11","25.4","0.029","-9.72","-9.72","0","bK21A03S"
"(2019 SK9)","2099-2099","1","2.2e-9","15.89","27.1","0.013","-9.76","-9.76","0","bK19S09K"
"(2019 XR)","2053-2053","1","4.5e-9","8.11","28.1","0.008","-9.76","-9.76","0","bK19X00R"
"(2017 WE30)","2038-2094","8","1.0e-7","17.56","31.9","0.001","-9.83","-10.10","0","bK17W30E"
"(2009 SH1)","2070-2116","32","6.7e-8","5.56","30.0","0.003","-9.88","-10.87","0","bK09S01H"
"(2009 EH1)","2051-2051","1","1.5e-9","10.60","27.9","0.009","-10.01","-10.01","0","bK09E01H"
"(2015 RU178)","2055-2055","1","9.6e-10","18.73","27.9","0.009","-10.04","-10.04","0","bK15RH8U"
"(2007 RC20)","2091-2091","1","1.2e-9","5.07","26.7","0.016","-10.05","-10.05","0","bK07R20C"
"(2014 HC196)","2112-2112","1","2.0e-10","10.36","25.2","0.031","-10.09","-10.09","0","bK14HJ6C"
"(2012 CQ46)","2098-2107","2","1.3e-9","12.89","27.3","0.012","-10.13","-10.42","0","bK12C46Q"
"(2019 UN13)","2111-2111","1","2.9e-7","10.18","32.1","0.001","-10.27","-10.27","0","bK19U13N"
"(2016 VH)","2115-2115","1","9.3e-10","4.79","26.8","0.015","-10.36","-10.36","0","bK16V00H"
"(2014 YP44)","2092-2101","3","3.8e-10","4.34","26.1","0.020","-10.36","-10.70","0","bK14Y44P"
"(2018 PR7)","2097-2097","1","4.2e-9","4.18","28.5","0.007","-10.47","-10.47","0","bK18P07R"
"(2012 UL171)","2083-2083","2","5.0e-10","4.07","26.9","0.014","-10.55","-10.71","0","bK12UH1L"
"(2016 MH3)","2104-2104","2","5.4e-10","4.79","27.1","0.013","-10.69","-10.82","0","bK16M03H"
"(2020 CM)","2119-2119","1","8.4e-10","10.71","27.9","0.009","-10.78","-10.78","0","bK20C00M"
"(2016 DB)","2059-2059","1","5.0e-10","9.16","28.5","0.007","-10.94","-10.94","0","bK16D00B"
"(2012 FN)","2089-2113","3","1.8e-9","3.70","29.1","0.005","-11.15","-11.39","0","bK12F00N"
"(2018 RW)","2110-2110","1","5.4e-9","5.74","30.3","0.003","-11.24","-11.24","0","bK18R00W"
"(2019 UT5)","2080-2080","1","2.4e-10","14.16","28.4","0.007","-11.27","-11.27","0","bK19U05T"
"(2017 YK14)","2075-2075","1","1.7e-10","3.25","28.2","0.008","-11.58","-11.58","0","bK17Y14K"
"(2019 BZ3)","2092-2092","1","1.5e-10","10.55","28.7","0.006","-11.80","-11.80","0","bK19B03Z"
"(2019 AS5)","2085-2085","1","3.4e-9","10.17","32.3","0.001","-12.16","-12.16","0","bK19A05S"
